ARO.Accession,ARO.Name,Multi.Efflux.Pump,Multi.Efflux.Role
ARO:3000826,sdiA,AcrAB-TolC,regulates
ARO:3004041,Klebsiella pneumoniae acrA,AcrAB-TolC,part_of
ARO:3004042,Enterobacter cloacae acrA,AcrAB-TolC,part_of
ARO:3000216,acrB,AcrAB-TolC,part_of
ARO:3000656,AcrS,AcrAB-TolC;AcrEF-TolC,regulates
ARO:3000263,marA,AcrAB-TolC;porin OmpF,regulates
ARO:3000823,ramA,AcrAB-TolC;porin OmpF,regulates
ARO:3000499,AcrE,AcrEF-TolC,part_of
ARO:3000502,AcrF,AcrEF-TolC,part_of
ARO:3000526,cmeR,CmeABC,regulates
ARO:3000785,cmeC,CmeABC,part_of
ARO:3000784,cmeB,CmeABC,part_of
ARO:3003949,efrB,EfrAB,part_of
ARO:3003948,efrA,EfrAB,part_of
ARO:3000027,emrA,EmrAB-TolC,part_of
ARO:3000074,emrB,EmrAB-TolC,part_of
ARO:3000516,emrR,EmrAB-TolC,regulates
ARO:3000206,emrK,EmrKY-TolC,part_of
ARO:3000254,emrY,EmrKY-TolC,part_of
ARO:3003962,farB,farAB,part_of
ARO:3003961,farA,farAB,part_of
ARO:3003841,kdpE,kdpDE,part_of
ARO:3000533,macA,MacAB-TolC,part_of
ARO:3000535,macB,MacAB-TolC,part_of
ARO:3000237,TolC,MacAB-TolC;MdtEF-TolC;AcrAB-TolC;EmrAB-TolC;MdtABC-TolC;EmrKY-TolC;AcrEF-Tol,part_of
ARO:3000794,mdtC,MdtABC-TolC,part_of
ARO:3000829,baeS,MdtABC-TolC,regulates
ARO:3000793,mdtB,MdtABC-TolC,part_of
ARO:3000792,mdtA,MdtABC-TolC,part_of
ARO:3000828,baeR,MdtABC-TolC,regulates
ARO:3000830,cpxA,MdtABC-TolC,regulates
ARO:3003838,gadW,MdtEF-TolC,regulates
ARO:3000795,mdtE,MdtEF-TolC,part_of
ARO:3000796,mdtF,MdtEF-TolC,part_of
ARO:3000508,gadX,MdtEF-TolC,regulates
ARO:3000518,CRP,MdtEF-TolC,regulates
ARO:3000833,evgS,MdtEF-TolC;EmrKY-TolC;AcrEF-TolC,regulates
ARO:3000832,evgA,MdtEF-TolC;EmrKY-TolC;AcrEF-TolC,regulates
ARO:3000676,H-NS,MdtEF-TolC;EmrKY-TolC;AcrEF-TolC,regulates
ARO:3003549,mdtO,MdtNOP,part_of
ARO:3003548,mdtN,MdtNOP,part_of
ARO:3003550,mdtP,MdtNOP,part_of
ARO:3000746,mepR,mepA,regulates
ARO:3004056,ArmR,MexAB-OprM,regulates
ARO:3000377,MexA,MexAB-OprM,part_of
ARO:3000804,MexF,MexEF-OprN,part_of
ARO:3000810,mtrC,MtrCDE,part_of
ARO:3000811,mtrD,MtrCDE,part_of
ARO:3000812,mtrE,MtrCDE,part_of
ARO:3000817,mtrR,MtrCDE;farAB,regulates
ARO:3004074,MuxB,MuxABC-OpmB,part_of
ARO:3000838,arlR,norA,regulates
ARO:3003923,oqxB,oqxAB,part_of
ARO:3003922,oqxA,oqxAB,part_of
ARO:3000024,patA,PatA-PatB,part_of
ARO:3000025,patB,PatA-PatB,part_of
ARO:3003056,smeE,SmeDEF,part_of
ARO:3004033,tetB(46),tetAB(46),part_of
ARO:3004032,tetA(46),tetAB(46),part_of
ARO:3004035,tetA(60),tetAB(60),part_of
ARO:3004036,tetB(60),tetAB(60),part_of
